Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Penal Code, total;Helsingør;5978;6564;6502;5890;5519;5310;5703;4809;4349;4266;4536;3492;3495;3141
Reported criminal offences;Penal Code, total;Hillerød;3063;3360;3455;3480;5344;3573;3396;3286;3154;3492;3140;2974;2788;2454
Reported criminal offences;Penal Code, total;Hørsholm;1520;1506;1668;1656;1567;1540;1522;1606;1710;1699;1572;1705;1347;1006
Reported criminal offences;Penal Code, total;Rudersdal;3054;3099;4015;3536;3852;3774;3012;3517;3588;3678;3491;3183;2966;2432
Reported criminal offences;Penal Code, total;Bornholm;1846;2026;1753;1547;1220;1352;1437;1246;1184;1185;1138;1008;967;910
Reported criminal offences;Penal Code, total;Christiansø;0;0;0;0;0;0;0;0;1;0;1;0;0;0
Reported criminal offences;Penal Code, total;Region Sjælland;56751;67944;68873;63755;61415;56007;55312;51550;47089;51459;48235;42762;39658;37834
Reported criminal offences;Penal Code, total;Greve;3706;5219;5433;4957;4365;3924;3796;3403;2888;3082;2922;2576;2344;2222
Reported criminal offences;Penal Code, total;Køge;4103;5405;5934;5502;5228;4782;4558;4120;3398;3888;3677;2930;2837;3122
Reported criminal offences;Penal Code, total;Lejre;1110;1489;1500;1409;1212;1237;1161;1139;868;920;938;1289;699;666
Reported criminal offences;Penal Code, total;Roskilde;6756;8157;8322;7636;7942;7395;7282;6323;6854;6331;6453;5715;4965;3790
Reported criminal offences;Penal Code, total;Solrød;1168;1669;1671;1903;1317;1345;1343;1097;1059;963;1057;969;934;799
Reported criminal offences;Penal Code, total;Faxe;2000;2624;2537;2454;2273;1890;2039;1934;1844;2050;1533;1370;1200;1302
Reported criminal offences;Penal Code, total;Guldborgsund;4737;4898;5130;4312;4141;3843;4293;3804;3622;4052;3575;3239;3607;3407
Reported criminal offences;Penal Code, total;Holbæk;4576;5636;5465;4858;4624;4416;4815;3949;3296;3446;3564;3083;2938;3834
Reported criminal offences;Penal Code, total;Kalundborg;3410;4339;4095;3564;3425;3171;3083;2800;2272;2351;2366;2177;2015;1656
Reported criminal offences;Penal Code, total;Lolland;3264;4046;4334;3694;3499;2924;3145;2830;2656;4053;2823;2800;3028;2191
Reported criminal offences;Penal Code, total;Næstved;5278;6160;5880;5387;5497;4942;4827;4820;4451;5070;4501;4111;3623;3263
Reported criminal offences;Penal Code, total;Odsherred;2068;2252;2850;2531;2759;2410;2227;2152;1665;1841;2231;1950;1757;1716
Reported criminal offences;Penal Code, total;Ringsted;2559;2748;2870;2668;2334;2318;1971;2094;2275;1955;1994;1733;1511;1591
