;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;Hvidovre;21;26;23;18;27;43;23;17;16;31;57;37;47;45
;;Høje-Taastrup;28;15;27;25;15;14;27;22;37;36;51;44;33;46
;;Ishøj;16;12;12;8;12;19;19;13;8;19;14;270;29;31
;;Lyngby-Taarbæk;12;19;32;8;11;18;20;26;18;32;245;67;48;63
;;Rødovre;26;15;11;14;13;18;8;8;23;23;34;34;18;20
;;Vallensbæk;5;5;6;6;7;7;4;1;8;4;11;5;12;8
;;Allerød;6;7;9;3;7;13;7;3;8;12;36;29;28;8
;;Egedal;9;15;8;11;19;8;18;14;22;15;70;47;33;19
;;Fredensborg;15;14;19;9;14;12;8;18;9;24;95;72;29;25
;;Frederikssund;24;37;15;14;27;19;8;13;15;16;38;35;34;42
;;Furesø;13;14;8;45;24;75;96;7;11;139;212;60;18;29
;;Gribskov;25;16;13;12;12;11;12;18;15;19;97;49;72;47
;;Halsnæs;15;11;12;33;17;10;9;1;5;25;49;37;32;20
;;Helsingør;34;27;25;34;38;42;39;25;24;35;146;91;71;48
;;Hillerød;21;10;17;41;12;22;22;16;22;27;96;77;39;53
;;Hørsholm;8;5;10;4;0;4;11;3;6;5;27;31;16;14
;;Rudersdal;20;18;26;17;15;7;13;15;9;132;232;68;32;24
;;Bornholm;11;28;15;25;18;11;20;18;29;33;38;24;53;40
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;15;27;22;35;46;21;29;23;31;23;26;53;25;59
;;Køge;21;27;14;21;21;25;24;44;17;31;44;37;43;40
;;Lejre;9;2;10;12;5;7;8;14;3;9;11;11;15;24
;;Roskilde;28;35;33;31;53;53;29;50;39;48;150;100;137;71
;;Solrød;4;8;4;3;12;12;7;5;8;6;8;25;15;16
;;Faxe;5;21;12;6;8;13;12;31;20;19;28;55;23;39
;;Guldborgsund;41;53;31;63;35;34;28;42;28;49;61;89;57;78
;;Holbæk;34;34;29;37;35;55;42;102;38;39;54;85;47;63
;;Kalundborg;28;21;26;36;23;14;19;30;18;32;60;33;61;38
;;Lolland;16;30;24;50;27;24;45;30;42;36;34;72;57;53
;;Næstved;52;27;27;38;33;22;51;41;38;65;54;98;76;107
;;Odsherred;15;22;10;28;22;19;14;15;12;19;34;26;43;58
;;Ringsted;8;6;14;7;19;14;14;15;24;14;24;24;33;27
;;Slagelse;33;35;26;31;35;37;41;44;48;83;69;91;88;98
;;Sorø;14;13;17;9;8;9;22;25;34;9;33;41;53;40
;;Stevns;8;5;5;11;7;7;5;9;9;7;16;23;14;28
;;Vordingborg;45;17;14;17;19;12;14;26;31;41;49;71;46;57
;;Assens;28;18;19;39;24;7;23;29;23;15;21;43;34;37
;;Faaborg-Midtfyn;17;29;19;21;10;13;7;20;20;27;35;28;53;38
;;Kerteminde;6;15;14;14;9;12;6;8;25;5;10;17;8;19
;;Langeland;10;5;1;11;8;8;3;4;6;34;3;3;3;7
;;Middelfart;8;17;10;19;24;12;6;8;16;9;22;79;26;25
;;Nordfyns;8;18;7;15;8;13;12;15;10;10;10;22;8;19
;;Nyborg;17;11;15;16;65;16;16;20;36;19;15;21;30;23
;;Odense;106;90;117;133;115;114;125;125;99;178;149;172;171;189
;;Svendborg;30;23;22;21;32;24;38;16;21;45;58;38;31;38
;;Ærø;1;4;2;2;10;0;0;1;2;2;1;3;1;3
;;Billund;6;8;12;14;10;17;7;5;15;20;21;23;24;25
;;Esbjerg;71;98;66;66;42;88;64;99;124;97;140;210;210;121
;;Fanø;1;0;2;0;2;1;1;5;4;15;6;17;3;1
;;Fredericia;28;39;34;27;16;20;20;25;37;49;34;54;42;52
;;Haderslev;28;27;24;16;46;35;22;19;29;34;46;63;55;52
;;Kolding;56;47;42;45;39;40;32;53;45;57;56;98;89;67
;;Sønderborg;30;28;27;29;27;34;27;36;23;49;59;74;67;72
;;Tønder;28;15;18;25;20;14;22;15;29;40;41;42;38;44
;;Varde;10;32;22;29;15;21;25;34;45;26;45;44;59;54
;;Vejen;22;31;25;18;18;20;24;18;54;18;35;81;55;35
;;Vejle;51;44;37;40;48;63;61;44;42;64;77;92;86;106
;;Aabenraa;52;37;40;42;39;36;38;52;28;48;68;51;46;72
;;Favrskov;12;8;5;20;14;12;11;25;17;10;20;33;53;271
;;Hedensted;12;7;13;13;12;12;20;15;3;40;32;45;15;26
;;Horsens;42;37;27;30;42;24;21;28;27;30;74;120;92;56
;;Norddjurs;33;18;23;13;13;16;23;11;7;14;19;36;29;23
;;Odder;5;2;4;1;10;6;12;5;5;4;14;10;12;8
;;Randers;38;42;33;162;58;34;52;63;204;39;66;100;78;148
;;Samsø;0;4;3;2;0;0;1;0;0;4;2;2;2;1
;;Silkeborg;28;43;25;19;34;36;27;27;25;34;71;104;76;77
;;Skanderborg;20;12;18;28;34;15;5;20;12;11;26;44;34;19
;;Syddjurs;18;8;7;11;8;24;12;12;11;13;20;53;49;19
;;Aarhus;194;118;101;121;136;137;126;109;126;226;233;305;244;193
;;Herning;29;28;24;20;37;59;51;42;18;50;78;89;51;70
;;Holstebro;24;31;20;13;25;23;88;25;27;24;57;63;83;87
;;Ikast-Brande;13;21;15;23;38;23;15;17;8;19;21;26;36;37
;;Lemvig;3;4;9;3;12;4;4;3;6;7;7;7;14;7
;;Ringkøbing-Skjern;14;18;22;30;19;12;19;13;23;29;23;36;33;54
;;Skive;22;30;21;22;25;14;28;20;20;23;30;52;106;35
;;Struer;6;14;13;10;10;12;5;7;7;13;19;21;40;15
;;Viborg;42;29;49;41;40;72;33;39;34;70;174;114;64;120
;;Brønderslev;11;8;14;13;22;19;22;9;19;39;25;31;18;38
;;Frederikshavn;22;23;22;56;21;16;13;38;28;35;71;89;46;36
;;Hjørring;37;38;29;43;8;35;19;29;31;38;63;182;53;51
;;Jammerbugt;16;16;16;16;21;24;14;12;11;35;33;46;18;44
;;Læsø;1;0;2;5;0;0;0;0;1;0;0;0;10;3
;;Mariagerfjord;26;18;17;7;18;13;12;14;7;22;31;21;35;28
;;Morsø;8;8;14;7;9;9;11;10;16;14;16;11;23;16
;;Rebild;17;9;8;18;8;10;11;7;8;10;7;21;45;16
;;Thisted;18;22;11;20;20;10;25;16;14;19;19;27;47;25
;;Vesthimmerlands;17;15;15;19;18;21;13;21;13;28;35;49;34;52
;;Aalborg;102;90;90;60;106;107;61;122;88;98;198;235;198;196
;;Unknown municipality;92;54;53;66;88;101;63;73;179;213;376;391;1361;1900
;Incest, etc.;Copenhagen;5;2;3;1;0;6;5;0;5;5;6;4;3;3
;;Frederiksberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Dragør;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;Tårnby;0;0;1;0;0;0;0;1;1;0;1;0;1;1
;;Albertslund;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;Ballerup;0;0;1;0;0;0;0;1;0;0;0;0;0;0
;;Brøndby;0;0;0;0;0;0;0;0;0;12;0;0;0;0
;;Gentofte;0;0;0;0;1;1;0;0;0;0;1;2;0;0
;;Gladsaxe;1;1;0;1;0;0;2;0;0;0;0;0;0;0
;;Glostrup;0;0;2;2;0;0;0;0;0;0;0;0;0;1
;;Herlev;0;2;0;0;1;0;0;1;0;0;0;0;0;0
;;Hvidovre;1;1;2;1;2;0;1;0;0;0;0;0;0;0
;;Høje-Taastrup;3;0;1;1;0;0;1;1;4;0;0;0;0;0
;;Ishøj;0;0;0;0;0;3;1;0;0;0;0;0;0;0
;;Lyngby-Taarbæk;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;Rødovre;3;0;4;0;2;0;0;0;1;0;0;0;0;0
;;Vallensbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Allerød;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;Egedal;2;0;0;0;0;0;0;0;0;0;1;0;2;0
;;Fredensborg;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;Frederikssund;1;0;0;0;0;0;0;0;1;1;0;0;1;0
;;Furesø;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;Gribskov;0;0;1;1;1;1;0;0;0;0;0;0;0;1
;;Halsnæs;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;Helsingør;0;0;0;1;0;2;0;0;0;0;0;1;1;0
;;Hillerød;0;0;0;1;0;0;0;0;0;0;1;1;1;1
;;Hørsholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Rudersdal;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;Bornholm;1;1;2;0;5;2;0;0;1;1;1;0;0;1
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;0;1;0;4;0;1;0;1;0;0;0;0;0;1
;;Køge;0;1;0;2;0;2;0;4;0;0;0;0;3;0
;;Lejre;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;Roskilde;1;0;0;0;2;2;0;0;1;0;0;1;0;2
;;Solrød;0;2;1;0;1;2;2;0;1;0;0;0;0;0
;;Faxe;0;1;0;0;0;0;0;0;1;0;2;2;0;0
;;Guldborgsund;4;2;1;4;0;3;0;2;1;0;1;2;0;3
;;Holbæk;3;1;2;1;0;2;4;2;1;0;3;6;0;2
;;Kalundborg;0;1;0;1;0;1;1;0;0;0;3;0;4;1
;;Lolland;0;0;0;6;0;0;0;0;0;0;0;3;0;1
;;Næstved;0;1;0;2;1;0;1;0;0;0;2;0;0;0
;;Odsherred;1;3;1;1;0;1;1;1;0;0;0;0;0;1
;;Ringsted;0;1;1;0;0;0;3;1;3;0;0;1;0;3
;;Slagelse;3;2;1;1;0;0;1;0;4;3;2;2;0;0
;;Sorø;1;0;0;0;0;0;0;1;0;0;1;1;2;0
;;Stevns;0;0;1;2;0;1;0;1;0;0;2;1;0;0
;;Vordingborg;0;0;0;0;1;1;0;1;1;0;2;2;0;1
;;Assens;1;0;0;2;1;0;0;1;0;1;0;0;0;1
;;Faaborg-Midtfyn;1;1;0;0;0;1;0;2;0;0;1;0;0;1
;;Kerteminde;0;0;0;0;0;0;1;0;0;1;1;0;0;0
;;Langeland;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;Middelfart;0;0;0;1;0;1;0;0;1;0;0;1;0;0
;;Nordfyns;1;0;0;0;0;2;0;0;0;1;0;1;0;0
;;Nyborg;0;0;0;0;0;1;2;0;1;1;0;0;0;0
;;Odense;2;3;0;3;3;2;1;0;3;0;1;0;2;0
;;Svendborg;0;1;1;2;1;0;2;0;1;0;0;0;2;0
;;Ærø;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;Billund;0;0;0;0;0;2;0;0;0;2;1;0;0;0
;;Esbjerg;0;7;2;1;0;1;3;2;6;0;2;1;0;0
;;Fanø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Fredericia;0;0;0;0;0;0;0;0;0;1;1;1;1;0
;;Haderslev;0;0;0;0;0;1;2;0;1;1;0;0;0;0
;;Kolding;1;2;0;1;0;0;0;1;0;0;0;0;1;0
;;Sønderborg;0;0;2;0;0;3;0;2;0;1;0;0;0;0
;;Tønder;2;0;2;0;1;2;1;1;0;0;4;1;0;1
;;Varde;1;4;0;3;0;1;2;1;0;0;1;0;0;0
;;Vejen;1;3;0;1;1;0;1;1;1;0;1;6;1;0
;;Vejle;3;1;3;1;1;4;2;2;0;0;2;0;3;1
;;Aabenraa;2;3;2;1;0;2;0;0;0;0;0;0;0;1
;;Favrskov;2;0;0;1;0;0;1;2;2;0;0;0;5;0
;;Hedensted;0;0;0;1;0;0;0;0;0;1;2;0;0;0
;;Horsens;3;0;0;0;2;0;1;0;0;0;1;1;0;0
;;Norddjurs;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;Odder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Randers;0;0;4;1;0;0;0;0;0;1;0;0;0;3
;;Samsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Silkeborg;0;3;0;0;0;1;0;1;1;6;2;3;3;1
;;Skanderborg;1;0;1;0;2;0;1;0;0;0;1;1;1;1
;;Syddjurs;0;0;0;0;1;0;1;0;0;2;0;0;0;0
;;Aarhus;8;0;1;0;2;1;1;1;0;4;0;1;3;2
;;Herning;2;0;0;0;0;1;0;0;0;0;0;0;1;2
;;Holstebro;0;3;0;2;0;0;0;1;1;0;0;0;34;0
;;Ikast-Brande;0;1;0;1;1;1;0;0;0;0;0;0;1;0
;;Lemvig;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Ringkøbing-Skjern;0;1;1;3;1;1;0;0;1;1;1;0;1;0
;;Skive;1;2;1;0;0;0;0;0;1;1;2;1;1;0
;;Struer;0;0;1;1;0;3;1;0;0;1;0;1;0;0
;;Viborg;0;0;0;1;0;2;1;0;0;1;2;0;1;4
;;Brønderslev;0;0;0;0;1;3;2;0;1;1;1;0;0;0
;;Frederikshavn;0;0;1;1;0;1;0;1;1;0;2;2;0;0
;;Hjørring;1;3;1;1;0;1;0;1;1;0;1;1;0;1
;;Jammerbugt;0;2;1;0;0;2;0;0;0;0;0;1;0;0
;;Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Mariagerfjord;1;0;0;0;1;3;0;0;0;0;1;0;0;0
;;Morsø;1;0;0;3;1;0;1;0;0;0;1;0;0;0
;;Rebild;0;0;1;2;1;0;0;0;0;0;0;0;0;0
;;Thisted;0;0;0;3;0;0;1;0;2;0;2;0;0;0
;;Vesthimmerlands;0;0;3;2;2;1;0;2;0;0;0;0;1;0
;;Aalborg;1;6;1;0;3;3;4;0;0;0;2;0;1;0
;;Unknown municipality;12;3;3;2;5;6;2;1;2;2;2;2;0;2
;Rape, etc.;Copenhagen;48;57;45;49;30;49;40;72;74;123;149;154;132;150
;;Frederiksberg;6;1;4;1;4;4;6;6;7;14;9;8;16;26
;;Dragør;0;0;0;2;1;1;1;0;0;0;0;0;2;0
;;Tårnby;3;0;0;1;1;0;3;2;2;4;3;8;5;6
;;Albertslund;6;12;8;3;3;1;0;1;3;4;4;5;5;8
;;Ballerup;3;6;3;1;2;4;7;2;3;4;8;8;11;14
;;Brøndby;0;8;3;5;1;1;3;1;1;1;34;10;6;12
;;Gentofte;7;6;2;2;7;2;4;1;4;4;4;9;6;8
;;Gladsaxe;8;1;5;3;1;4;0;1;3;5;2;9;7;8
;;Glostrup;3;1;2;0;1;1;4;1;3;4;4;1;8;6
;;Herlev;3;1;1;3;1;0;3;1;3;4;6;4;7;3
;;Hvidovre;6;5;7;4;2;2;4;2;2;10;7;8;8;13
;;Høje-Taastrup;5;3;3;6;2;1;6;1;8;7;7;10;6;14
;;Ishøj;4;1;1;1;1;3;1;3;0;6;1;4;8;7
;;Lyngby-Taarbæk;5;2;1;0;0;1;1;2;11;2;3;5;12;10
;;Rødovre;6;6;3;3;2;3;0;1;2;5;3;6;4;7
;;Vallensbæk;1;1;3;0;0;0;0;0;1;1;0;2;4;1
;;Allerød;2;1;2;0;2;1;2;1;0;2;5;1;2;1
;;Egedal;2;3;0;1;2;1;1;2;2;3;4;3;4;4
;;Fredensborg;2;0;5;0;2;0;2;1;1;6;1;8;5;2
;;Frederikssund;5;13;6;3;9;1;2;5;4;3;3;7;10;11
;;Furesø;1;1;1;3;0;1;0;1;0;2;4;4;4;4
;;Gribskov;5;5;3;2;3;0;2;2;2;9;6;4;4;6
;;Halsnæs;6;2;2;3;3;4;4;0;1;3;11;4;6;10
;;Helsingør;11;6;4;9;4;7;6;3;2;5;6;13;9;4
;;Hillerød;5;4;4;14;3;4;4;5;6;10;7;9;6;3
;;Hørsholm;1;1;2;0;0;1;2;0;0;1;1;2;5;2
;;Rudersdal;2;0;2;2;1;0;2;1;0;3;2;4;5;1
;;Bornholm;2;4;2;2;1;2;2;1;4;5;7;4;12;4
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;2;6;5;8;2;0;2;3;5;5;3;8;6;13
;;Køge;3;5;1;3;0;3;1;7;5;12;9;14;6;6
;;Lejre;1;0;1;2;0;1;2;2;0;3;3;4;3;1
;;Roskilde;6;12;7;7;8;4;7;6;10;12;26;16;26;16
;;Solrød;0;2;0;1;5;0;1;1;0;1;0;2;1;0
;;Faxe;1;4;3;1;2;0;1;4;2;4;7;12;6;5
;;Guldborgsund;9;8;8;3;6;3;2;8;3;9;14;18;14;24
;;Holbæk;3;6;6;12;9;10;6;3;6;8;15;10;13;10
;;Kalundborg;5;1;10;7;2;2;6;7;1;2;10;10;12;10
;;Lolland;3;8;4;9;4;6;7;4;7;9;5;22;18;16
;;Næstved;8;10;6;4;5;5;6;4;8;12;17;25;14;20
;;Odsherred;3;3;2;4;11;3;1;2;1;1;12;5;3;12
;;Ringsted;1;1;2;2;6;4;1;3;2;4;2;3;4;4
;;Slagelse;8;6;5;8;9;4;9;5;11;16;8;19;17;16
;;Sorø;4;1;2;0;1;1;1;3;13;0;4;8;8;3
;;Stevns;2;1;1;3;2;0;0;1;0;1;5;13;2;5
;;Vordingborg;10;4;3;1;3;1;6;2;7;7;9;11;12;14
;;Assens;5;2;1;3;6;0;6;1;3;1;3;10;10;3
;;Faaborg-Midtfyn;2;1;3;2;1;4;2;1;5;4;11;4;14;11
;;Kerteminde;1;2;3;1;0;2;0;1;0;0;3;2;2;1
;;Langeland;0;1;0;3;0;0;0;0;1;3;1;1;2;0
;;Middelfart;0;0;0;3;7;3;0;1;2;4;3;6;4;4
;;Nordfyns;2;3;2;2;0;2;1;1;2;0;1;6;2;2
;;Nyborg;4;2;5;1;5;2;1;2;9;5;5;2;6;2
;;Odense;37;14;22;28;23;18;17;15;21;39;25;34;35;39
;;Svendborg;7;5;7;4;8;6;7;2;5;6;14;9;7;8
;;Ærø;0;2;0;1;0;0;0;0;0;0;1;1;1;1
;;Billund;0;2;1;3;1;0;0;1;1;5;2;5;6;7
;;Esbjerg;16;14;16;14;8;14;12;12;9;12;26;33;31;34
;;Fanø;0;0;0;0;1;0;0;2;0;3;0;0;2;0
;;Fredericia;9;6;10;4;2;1;4;2;5;9;9;10;13;13
;;Haderslev;2;3;7;1;10;6;7;5;3;6;12;11;16;22
;;Kolding;6;5;6;7;7;4;6;6;5;23;12;15;14;19
;;Sønderborg;10;5;3;7;6;13;2;5;8;10;12;11;20;17
;;Tønder;3;3;6;1;4;3;2;3;3;6;9;1;9;14
;;Varde;1;3;7;3;2;0;2;2;7;4;6;4;26;22
;;Vejen;3;6;2;2;3;3;4;2;2;4;6;15;11;11
;;Vejle;8;10;6;5;10;11;4;6;7;18;22;32;23;33
;;Aabenraa;12;3;10;3;10;7;5;3;4;6;17;9;15;7
;;Favrskov;0;0;1;2;2;0;1;5;4;4;3;7;16;12
;;Hedensted;3;0;2;2;3;4;1;3;0;4;5;8;2;7
;;Horsens;13;7;5;7;3;5;6;4;2;8;15;15;18;11
;;Norddjurs;12;6;10;2;4;1;4;1;0;5;4;7;11;6
;;Odder;2;0;2;0;1;1;0;0;1;2;4;2;1;2
;;Randers;9;9;8;3;8;5;6;8;16;11;13;14;19;17
;;Samsø;0;1;0;1;0;0;0;0;0;2;2;2;1;1
;;Silkeborg;8;11;3;2;1;6;3;3;8;5;15;14;15;12
;;Skanderborg;3;3;6;2;4;1;0;2;4;1;5;7;8;6
;;Syddjurs;2;0;0;2;2;4;1;0;1;3;4;5;9;4
;;Aarhus;46;28;11;16;11;20;12;17;23;49;38;47;48;49
;;Herning;4;5;8;3;13;13;7;6;4;20;15;23;12;13
;;Holstebro;5;8;2;5;4;3;3;2;8;10;4;11;11;16
;;Ikast-Brande;6;5;2;2;6;1;4;2;2;4;5;7;6;8
;;Lemvig;1;1;1;2;0;1;1;1;0;1;0;1;1;1
;;Ringkøbing-Skjern;1;4;2;9;7;2;4;3;2;5;1;6;7;10
;;Skive;4;2;2;6;6;1;9;4;4;11;6;14;13;8
;;Struer;0;2;3;3;3;2;1;0;0;1;5;2;7;4
;;Viborg;11;7;9;7;5;18;8;4;5;15;14;13;15;21
;;Brønderslev;4;2;2;4;1;6;1;3;8;15;4;3;3;2
;;Frederikshavn;6;6;4;4;4;1;2;2;3;4;20;12;5;4
;;Hjørring;7;4;5;5;2;3;4;6;6;12;15;6;9;17
;;Jammerbugt;2;2;2;2;2;2;4;2;2;4;3;8;5;13
;;Læsø;0;0;0;5;0;0;0;0;0;0;0;0;0;0
;;Mariagerfjord;9;4;4;2;2;2;2;1;4;5;7;4;6;9
;;Morsø;0;4;4;1;3;1;3;2;2;1;4;0;2;2
;;Rebild;3;0;0;0;1;1;1;1;0;2;0;0;1;9
;;Thisted;2;5;1;3;6;1;3;4;2;4;1;6;10;10
;;Vesthimmerlands;7;1;0;4;1;1;3;5;4;5;9;6;2;8
;;Aalborg;26;17;18;18;25;27;12;24;23;36;42;47;51;41
;;Unknown municipality;15;10;7;9;2;11;8;10;10;18;31;47;27;31
;Heterosexual offence against a child under 12 (Repealed in 2013);Copenhagen;8;6;7;5;3;8;2;0;0;0;0;0;0;0
;;Frederiksberg;2;0;0;0;1;0;0;0;0;0;0;0;0;0
;;Dragør;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Tårnby;0;0;1;0;4;1;1;0;0;0;0;0;0;0
;;Albertslund;1;0;1;0;1;0;0;0;0;0;0;0;0;0
;;Ballerup;4;0;1;0;0;2;0;0;0;0;0;0;0;0
;;Brøndby;0;0;0;2;0;1;0;0;0;0;0;0;0;0
;;Gentofte;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;Gladsaxe;2;1;1;0;0;0;0;0;0;0;0;0;0;0
;;Glostrup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Herlev;2;1;0;1;0;2;2;0;0;0;0;0;0;0
;;Hvidovre;0;2;2;0;0;0;1;0;0;0;0;0;0;0
;;Høje-Taastrup;2;0;3;4;0;0;0;0;0;0;0;0;0;0
;;Ishøj;1;0;0;0;0;3;1;0;0;0;0;0;0;0
;;Lyngby-Taarbæk;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;Rødovre;2;0;0;1;2;2;1;0;0;0;0;0;0;0
;;Vallensbæk;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;Allerød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Egedal;0;1;1;2;3;0;0;0;0;0;0;0;0;0
;;Fredensborg;1;1;0;0;1;2;0;0;0;0;0;0;0;0
;;Frederikssund;3;2;1;1;3;3;1;0;0;0;0;0;0;0
;;Furesø;1;2;1;1;0;0;0;0;0;0;0;0;0;0
;;Gribskov;1;1;0;2;0;0;0;0;0;0;0;0;0;0
;;Halsnæs;0;0;2;1;2;0;1;0;0;0;0;0;0;0
;;Helsingør;3;2;0;0;3;0;0;0;0;0;0;0;0;0
;;Hillerød;0;0;1;1;0;2;1;0;0;0;0;0;0;0
;;Hørsholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Rudersdal;4;0;3;0;2;1;0;0;0;0;0;0;0;0
;;Bornholm;0;0;1;3;4;0;1;0;0;0;0;0;0;0
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;0;1;0;4;1;4;0;0;0;0;0;0;0;0
;;Køge;0;1;0;1;2;1;0;0;0;0;0;0;0;0
;;Lejre;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;Roskilde;0;1;1;2;1;5;1;0;0;0;0;0;0;0
;;Solrød;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;Faxe;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;Guldborgsund;3;9;2;3;1;3;1;0;0;0;0;0;0;0
;;Holbæk;2;1;0;1;2;3;0;0;0;0;0;0;0;0
;;Kalundborg;2;0;3;7;1;3;1;0;0;0;0;0;0;0
;;Lolland;1;4;9;8;3;0;1;0;0;0;0;0;0;0
;;Næstved;8;1;2;7;4;3;1;0;0;0;0;0;0;0
;;Odsherred;0;0;3;1;0;1;1;0;0;0;0;0;0;0
;;Ringsted;0;2;1;1;1;0;0;0;0;0;0;0;0;0
;;Slagelse;5;4;4;0;3;5;0;0;0;0;0;0;0;0
;;Sorø;1;1;1;2;1;0;0;0;0;0;0;0;0;0
;;Stevns;0;2;0;1;0;0;0;0;0;0;0;0;0;0
;;Vordingborg;3;4;1;4;1;0;0;0;0;0;0;0;0;0
;;Assens;4;2;2;4;3;0;0;0;0;0;0;0;0;0
;;Faaborg-Midtfyn;3;0;4;3;0;0;0;0;0;0;0;0;0;0
;;Kerteminde;1;0;2;1;1;0;0;0;0;0;0;0;0;0
;;Langeland;2;1;0;2;3;1;0;0;0;0;0;0;0;0
;;Middelfart;2;4;1;1;0;0;0;0;0;0;0;0;0;0
;;Nordfyns;2;3;0;2;2;0;1;0;0;0;0;0;0;0
;;Nyborg;3;1;0;1;2;2;0;0;0;0;0;0;0;0
;;Odense;4;6;3;3;6;3;3;0;0;0;0;0;0;0
;;Svendborg;0;0;0;1;2;3;6;0;0;0;0;0;0;0
;;Ærø;1;0;1;0;1;0;0;0;0;0;0;0;0;0
;;Billund;1;0;1;0;1;0;0;0;0;0;0;0;0;0
;;Esbjerg;8;11;4;7;2;9;1;0;0;0;0;0;0;0
;;Fanø;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;Fredericia;1;5;0;1;2;2;0;0;0;0;0;0;0;0
;;Haderslev;5;2;1;4;0;2;2;0;0;0;0;0;0;0
;;Kolding;9;3;3;3;2;1;1;0;0;0;0;0;0;0
;;Sønderborg;5;1;6;1;3;2;4;0;0;0;0;0;0;0
;;Tønder;7;1;0;5;5;0;0;0;0;0;0;0;0;0
;;Varde;2;7;3;4;5;6;1;0;0;0;0;0;0;0
;;Vejen;4;3;1;5;0;1;0;0;0;0;0;0;0;0
;;Vejle;5;4;2;6;5;3;5;0;0;0;0;0;0;0
;;Aabenraa;4;2;4;5;3;7;3;0;0;0;0;0;0;0
;;Favrskov;0;0;0;1;5;1;1;0;0;0;0;0;0;0
;;Hedensted;2;1;1;2;0;0;1;0;0;0;0;0;0;0
;;Horsens;3;6;3;1;5;0;1;0;0;0;0;0;0;0
;;Norddjurs;3;1;1;0;1;0;0;0;0;0;0;0;0;0
;;Odder;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;Randers;2;3;5;3;1;4;0;0;0;0;0;0;0;0
;;Samsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Silkeborg;2;0;2;1;0;3;0;0;0;0;0;0;0;0
;;Skanderborg;0;2;0;2;6;4;0;0;0;0;0;0;0;0
;;Syddjurs;0;1;0;1;2;3;1;0;0;0;0;0;0;0
;;Aarhus;6;8;7;4;4;5;4;0;0;0;0;0;0;0
;;Herning;4;1;1;3;0;3;0;0;0;0;0;0;0;0
;;Holstebro;0;1;0;0;3;0;0;0;0;0;0;0;0;0
;;Ikast-Brande;1;1;1;1;1;1;0;0;0;0;0;0;0;0
;;Lemvig;0;1;2;0;1;0;0;0;0;0;0;0;0;0
;;Ringkøbing-Skjern;1;2;2;2;1;1;1;0;0;0;0;0;0;0
;;Skive;0;7;1;0;1;2;0;0;0;0;0;0;0;0
;;Struer;0;1;2;0;1;0;0;0;0;0;0;0;0;0
;;Viborg;2;1;1;2;3;11;1;0;0;0;0;0;0;0
;;Brønderslev;0;1;1;1;2;0;0;0;0;0;0;0;0;0
;;Frederikshavn;1;2;1;4;2;1;1;0;0;0;0;0;0;0
;;Hjørring;6;6;6;2;3;3;0;0;0;0;0;0;0;0
;;Jammerbugt;1;1;1;1;3;2;0;0;0;0;0;0;0;0
;;Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Mariagerfjord;1;2;0;0;3;0;1;0;0;0;0;0;0;0
;;Morsø;2;1;0;0;1;0;0;0;0;0;0;0;0;0
