Charged criminal offences;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Charge;Penal Code, total;Mariagerfjord;487;390;505;497;461;376;403;615;408;381;352;435;371;471
Charge;Penal Code, total;Morsø;186;238;218;189;207;180;198;389;207;179;468;267;272;214
Charge;Penal Code, total;Rebild;135;165;171;146;172;200;226;144;106;272;144;132;214;161
Charge;Penal Code, total;Thisted;516;473;552;415;464;500;479;395;366;611;452;631;595;396
Charge;Penal Code, total;Vesthimmerlands;368;421;377;349;339;459;526;402;642;437;475;314;331;368
Charge;Penal Code, total;Aalborg;2815;2644;2709;2709;3243;2894;3018;3203;3178;2884;2852;2508;2797;2730
Charge;Penal Code, total;Unknown municipality;1727;1289;1236;1952;2111;2636;2966;4102;7036;8193;8672;8381;6448;10602
Charge;Penal code, unspecified;Copenhagen;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Frederiksberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Dragør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Tårnby;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Albertslund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Ballerup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Brøndby;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Gentofte;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Gladsaxe;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Glostrup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Herlev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Hvidovre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Høje-Taastrup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Ishøj;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Lyngby-Taarbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Rødovre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Vallensbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Allerød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Egedal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Fredensborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Frederikssund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Furesø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Gribskov;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Halsnæs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Helsingør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Hillerød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Hørsholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Rudersdal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Bornholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Greve;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Køge;0;0;0;0;0;0;0;0;0;0;0;0;0;0
